Date,Year,Country,Precip_mm,Temp_K,SoilMoisture,Evaporation,NDVI,SPI_1,SPI_3,SPI_6,SPI_12,ONI_DJF,ONI_JFM,ONI_FMA,ONI_MAM,ONI_AMJ,ONI_MJJ,ONI_JJA,ONI_JAS,ONI_ASO,ONI_SON,ONI_OND,ONI_NDJ
01/06/2000,2000,Ethiopia,72.52395395,296.1967648,0.221294445,-0.001540241,0.39228455,-0.768534681,-0.718174462,-1.685569803,,-1.7,-1.4,-1.1,-0.8,-0.7,-0.6,-0.6,-0.5,-0.5,-0.6,-0.7,-0.7
01/06/2000,2000,Uganda,90.25882577,295.174089,0.261540281,-0.003114122,0.550489811,-0.008730905,-0.048508899,-1.541735393,,-1.7,-1.4,-1.1,-0.8,-0.7,-0.6,-0.6,-0.5,-0.5,-0.6,-0.7,-0.7
01/07/2000,2000,Kenya,24.3326054,296.3172366,0.146040768,-0.000895824,0.297227995,-0.451396062,-1.305599636,-2.32696774,,-1.7,-1.4,-1.1,-0.8,-0.7,-0.6,-0.6,-0.5,-0.5,-0.6,-0.7,-0.7
01/07/2000,2000,Somalia,10.14975327,299.6725964,0.06863162,-0.000355626,0.230491234,-0.545179593,0.044950156,-0.870148926,,-1.7,-1.4,-1.1,-0.8,-0.7,-0.6,-0.6,-0.5,-0.5,-0.6,-0.7,-0.7
01/07/2000,2000,Ethiopia,128.2075574,295.2426915,0.25550651,-0.001696334,0.400427706,-0.135240428,-0.211688924,-0.22328,,-1.7,-1.4,-1.1,-0.8,-0.7,-0.6,-0.6,-0.5,-0.5,-0.6,-0.7,-0.7
01/07/2000,2000,Uganda,88.53507752,294.6495392,0.274728077,-0.003030332,0.535505482,0.164021677,-0.076061692,-0.936308152,,-1.7,-1.4,-1.1,-0.8,-0.7,-0.6,-0.6,-0.5,-0.5,-0.6,-0.7,-0.7
01/08/2000,2000,Somalia,8.793172117,299.8648644,0.071431061,-0.000430112,0.207963746,-0.144575491,-0.91834176,-0.863307819,,-1.7,-1.4,-1.1,-0.8,-0.7,-0.6,-0.6,-0.5,-0.5,-0.6,-0.7,-0.7
01/08/2000,2000,Ethiopia,144.9642802,294.9354667,0.275443885,-0.002028879,0.437344528,0.552318948,-0.067809635,-0.864785889,,-1.7,-1.4,-1.1,-0.8,-0.7,-0.6,-0.6,-0.5,-0.5,-0.6,-0.7,-0.7
01/08/2000,2000,Uganda,118.9526573,294.5028032,0.298401781,-0.003341863,0.552947081,-0.036573084,0.008221486,-0.624153965,,-1.7,-1.4,-1.1,-0.8,-0.7,-0.6,-0.6,-0.5,-0.5,-0.6,-0.7,-0.7
01/08/2000,2000,Kenya,26.88173302,296.5073353,0.153531938,-0.001091611,0.301783356,-0.005697487,-0.548986987,-2.228405147,,-1.7,-1.4,-1.1,-0.8,-0.7,-0.6,-0.6,-0.5,-0.5,-0.6,-0.7,-0.7
01/09/2000,2000,Kenya,17.09018766,297.2989505,0.140403013,-0.000992472,0.296145904,-0.719338101,-0.703094302,-2.236456784,,-1.7,-1.4,-1.1,-0.8,-0.7,-0.6,-0.6,-0.5,-0.5,-0.6,-0.7,-0.7
01/09/2000,2000,Uganda,105.9605181,295.4571783,0.278035861,-0.003608179,0.530225326,-0.844975852,-0.261328094,-0.354941037,,-1.7,-1.4,-1.1,-0.8,-0.7,-0.6,-0.6,-0.5,-0.5,-0.6,-0.7,-0.7
01/09/2000,2000,Somalia,12.84712012,300.2239154,0.072285653,-0.00043886,0.214187504,-0.327632048,-0.535895428,-0.842666911,,-1.7,-1.4,-1.1,-0.8,-0.7,-0.6,-0.6,-0.5,-0.5,-0.6,-0.7,-0.7
01/09/2000,2000,Ethiopia,87.14160791,295.9634177,0.248299762,-0.001992578,0.464129252,-0.533944577,-0.05654697,-0.51195471,,-1.7,-1.4,-1.1,-0.8,-0.7,-0.6,-0.6,-0.5,-0.5,-0.6,-0.7,-0.7
01/10/2000,2000,Somalia,78.52423398,298.9759876,0.12679722,-0.001522349,0.267011951,0.70551579,0.595329213,0.567722578,,-1.7,-1.4,-1.1,-0.8,-0.7,-0.6,-0.6,-0.5,-0.5,-0.6,-0.7,-0.7
01/10/2000,2000,Ethiopia,120.37487,294.6975795,0.297221493,-0.002615893,0.492579216,1.299281906,1.042531378,0.591105199,,-1.7,-1.4,-1.1,-0.8,-0.7,-0.6,-0.6,-0.5,-0.5,-0.6,-0.7,-0.7
01/10/2000,2000,Kenya,42.90811895,298.0333231,0.149720045,-0.001199935,0.318623306,-0.426871501,-0.81846188,-1.667335544,,-1.7,-1.4,-1.1,-0.8,-0.7,-0.6,-0.6,-0.5,-0.5,-0.6,-0.7,-0.7
01/10/2000,2000,Uganda,143.7394897,295.022414,0.319119994,-0.003662996,0.573865829,0.162587261,-0.314647377,0.036238221,,-1.7,-1.4,-1.1,-0.8,-0.7,-0.6,-0.6,-0.5,-0.5,-0.6,-0.7,-0.7
01/11/2000,2000,Somalia,24.27247244,298.7228843,0.10073928,-0.001075586,0.293214722,-0.128026632,0.846533934,0.17755867,,-1.7,-1.4,-1.1,-0.8,-0.7,-0.6,-0.6,-0.5,-0.5,-0.6,-0.7,-0.7
01/11/2000,2000,Uganda,116.8655593,295.2731433,0.299154904,-0.003379271,0.556865356,0.038649487,-0.054358631,-0.163560354,,-1.7,-1.4,-1.1,-0.8,-0.7,-0.6,-0.6,-0.5,-0.5,-0.6,-0.7,-0.7
01/11/2000,2000,Kenya,94.01021422,297.6563226,0.202967694,-0.001954136,0.371265858,0.597741391,-0.413494072,-0.559278733,,-1.7,-1.4,-1.1,-0.8,-0.7,-0.6,-0.6,-0.5,-0.5,-0.6,-0.7,-0.7
